Questionnaire,Organization Number,Organization Name,City,Country,CDP Region,C40 City,GCoM City,Access,Assessment attachment and/or direct link,Confirm attachment/link provided,Boundary of assessment relative to jurisdiction boundary,Year of publication or approval,Factors considered in assessment,Primary author(s) of assessment,Does the city have adaptation goal(s) and/or an adaptation plan?,Population,Population Year,City Location,Last update
Cities 2022,862814,"South-East Region of Ireland (Kilkenny, Carlow, Wexford, and Waterford Counties)",Waterford,Ireland,Europe,No,No,public,https://www.waterfordcouncil.ie/media/environment/WCCC%20Climate%20Change%20Adaptation%20Strategy.PDF,The assessment has been attached,"Smaller - covers only part of the jurisdiction, please explain exclusions: Southeast region is composed of 4 counties which produced the assessment individually",2019,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers transition risks; Assessment considers vulnerable populations; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,456228,2022,POINT (-7.14535 52.2454),02/17/2023 03:20:42 AM
Cities 2022,60140,City of Nakuru,Nakuru,Kenya,Africa,No,Yes,public,Region3-02E Risk and Vulnerability Assessment-Nakuru-V02_25Nov21.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2021,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Dedicated team within jurisdiction; International organization; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,2162202,2019,POINT (36.08 -0.30309),02/17/2023 03:20:42 AM
Cities 2022,54144,City of Yarra,Richmond,Australia,Oceania,No,Yes,public,http://www.naga.org.au/uploads/9/0/5/3/9053945/adaptation_in_the_north_volume_6.pdf,The assessment can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: This climate risk and adaptation report covers nine northern Melbourne metropolitan  councils: Banyule, Darebin, Hume, Manningham, Melbourne, Moreland, Nillumbik, Whittlesea and  Yarra",2014,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,"Other, please specify: 'Adaptation in the North' was authored by the Northern Alliance for Greenhouse Action (NAGA), an alliance of nine northern Melbourne metropolitan  councils working to enable climate action across the municipalities.",Adaptation goal(s) and adaptation plan,103700,2020,,02/17/2023 03:20:42 AM
Cities 2022,54096,"City of Saint John, NB",Saint John,Canada,Canada,No,No,public,205501 - 20220309 - SJ Climate Change Vulnerability Assessment - Milestone 5 Summary Report Rev 1.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2021,Assessment considers vulnerable populations; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Community group; Consultant; Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,71541,2021,,02/17/2023 03:20:42 AM
Cities 2022,54345,City Government of Davao,Davao,Philippines,Southeast Asia,No,No,public,https://www.davaocity.gov.ph/wp-content/uploads/2019/04/FA-English_Davao-Transport-Road-Map-brochure-for-web.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2019,,,Adaptation goal(s) and adaptation plan,1776949,2020,POINT (125.625 7.07475),02/17/2023 03:20:42 AM
Cities 2022,50358,Gobierno Municipal de Toluca de Lerdo,,Mexico,Latin America,No,Yes,public,http://rmgir.proyectomesoamerica.org/PDFMunicipales/EdoMex/Atlas_Toluca_Oct2021_101.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2022,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,910608,2020,,02/17/2023 03:20:42 AM
Cities 2022,58595,Municipalidad de Belén,Belén,Costa Rica,Latin America,No,Yes,public,"(IG-002) CNE Puente Cheo - Belén, Heredia_FINAL.pdf",The assessment has been attached,"Smaller - covers only part of the jurisdiction, please explain exclusions: Estudios hechos para el cambio de puentes",2013,Assessment considers vulnerable populations,Consultant,Adaptation goal(s) and adaptation plan,24000,2017,POINT (-84.1503 10.0035),02/17/2023 03:20:42 AM
Cities 2022,54125,"City of Boise, ID",Boise,United States of America,United States of America,No,No,public,BCAA Final_112416.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2016,Assessment considers water security,"Other, please specify: University of Idaho",Adaptation goal(s) and adaptation plan,243570,2022,,02/17/2023 03:20:42 AM
Cities 2022,73726,Itagüí,,Colombia,Latin America,No,Yes,public,Se adjuntó documento,Unable to provide an attachment and/or direct link to the assessment,Same - covers entire jurisdiction and nothing else,2020,Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Dedicated team within jurisdiction,Adaptation goal(s),279894,2019,,02/17/2023 03:20:42 AM
Cities 2022,843399,Wandsworth Council,,United Kingdom of Great Britain and Northern Ireland,Europe,No,No,public,Climate vulnerability risk impact mapping tool.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2022,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,323967,2021,,02/17/2023 03:20:42 AM
Cities 2022,57509,Prefeitura de Niterói,Niterói,Brazil,Latin America,No,Yes,public,Anexo I - CMM cocada II_A3.pdf,The assessment has been attached,"Smaller - covers only part of the jurisdiction, please explain exclusions",2017,,,Adaptation goal(s),515317,2020,POINT (-43.1184 -22.8928),02/17/2023 03:20:42 AM
Cities 2022,31117,"City of Toronto, ON",Toronto,Canada,Canada,Yes,Yes,public,https://www.toronto.ca/wp-content/uploads/2019/05/8ecc-CRF_Final_v3_AODA.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2019,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations,Consultant; Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,2794356,2021,POINT (-79.3832 43.6532),02/17/2023 03:20:42 AM
Cities 2022,54305,Rajkot Municipal Corporation,,India,South Asia,No,Yes,public,CRCAP_Rajkot_ With Annexures.pdf,The assessment has been attached and can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2019,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers vulnerable populations; Assessment considers water security; Other, please specify: Health Impact",International organization,Adaptation goal(s) and adaptation plan,1286678,2011,,02/17/2023 03:20:42 AM
Cities 2022,834155,Kawagoe City,,Japan,East Asia,No,No,public,https://www.city.kawagoe.saitama.jp/kurashi/kankyo/ondankataisaku/kuiki3.files/all.pdf,Unable to provide an attachment and/or direct link to the assessment,Same - covers entire jurisdiction and nothing else,2018,,Question not applicable,Adaptation goal(s),0,,,02/17/2023 03:20:42 AM
Cities 2022,840521,City of Denizli,,Turkey,Europe,No,Yes,public,"Denizli_CCAP_Final_FC_.pdf, DENİZLİ_Eng.pdf",The assessment has been attached,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Denizli Metropolitan Municipality is a local authority. It endeavors to meet the joint needs and the environmental, social, spiritual and physical well-being of its citizens.",2019,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Regional/ state/ provincial government,Adaptation goal(s),1051056,2021,,02/17/2023 03:20:42 AM
Cities 2022,50718,Uiwang City,Uiwang-si,Republic of Korea,East Asia,No,Yes,public,제2차 의왕시 기후변화 적응대책 최종보고서.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2021,A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security,Relevant department within jurisdiction,Incomplete report,161696,2022,,02/17/2023 03:20:42 AM
Cities 2022,35885,Tel Aviv-Yafo Municipality,Tel Aviv-Yafo,Israel,Middle East,Yes,No,public,https://ims.gov.il/sites/default/files/inline-files/ClimateChangeInIsraelReport_20191128_new_1.pdf,The assessment can be accessed (unrestricted) on the link provided,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions",2019,Assessment includes a high-emissions scenario,National/ central government,Adaptation goal(s) and adaptation plan,463810,2020,POINT (34.7823 32.0816),02/17/2023 03:20:42 AM
Cities 2022,54354,City Government of Makati,Makati,Philippines,Southeast Asia,No,Yes,public,Makati DRRM Plan 2019-2030-pages-39-62.pdf,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2019,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,629616,2020,POINT (121.024 14.5547),02/17/2023 03:20:42 AM
